gene_id	AB_1	AB_2	AB_3	P1_1	P1_2	P1_3
WBGene00000701	0	0	0	0	0	0
WBGene00000702	0	0	0	0	0	0
WBGene00000703	0	4	3	0	5	1
WBGene00000704	3	4	5	0	0	8
WBGene00000705	0	0	0	1	0	0
WBGene00000706	11	12	13	3	5	8
WBGene00000707	0	0	0	0	0	0
WBGene00000708	0	0	0	0	0	0
WBGene00000709	0	0	4	3	0	0
WBGene00000710	0	0	0	0	0	0
WBGene00000711	0	0	0	0	0	0
WBGene00000712	2	0	3	0	0	0
WBGene00000713	4	2	8	11	0	0
WBGene00000714	1	0	0	0	0	0
WBGene00000715	0	0	0	0	0	0
WBGene00000716	6	0	0	10	2	4
WBGene00000717	0	0	0	0	0	0
WBGene00000718	0	0	0	0	0	0
WBGene00000719	0	0	0	7	0	0
WBGene00000720	0	0	0	0	0	0
WBGene00000721	0	0	0	0	0	0
WBGene00000722	1	0	0	0	0	0
WBGene00000723	0	0	0	0	0	0
WBGene00000724	0	0	0	0	0	0
WBGene00000725	0	0	0	0	0	0
WBGene00000726	0	0	0	0	0	0
WBGene00000727	0	0	0	0	0	0
WBGene00000728	1	2	1	0	1	2
WBGene00000729	0	0	0	0	0	0
WBGene00000730	0	0	0	0	0	0
WBGene00000731	4	6	29	0	3	7
WBGene00000732	1	0	0	0	0	0
WBGene00000733	0	0	0	2	0	0
WBGene00000734	0	0	0	0	0	0
WBGene00000735	0	0	0	0	1	0
WBGene00000736	0	0	0	0	0	0
WBGene00000737	0	0	0	0	0	0
WBGene00000738	0	1	0	4	0	25
WBGene00000739	0	0	0	0	0	0
WBGene00000740	0	0	0	0	0	0
WBGene00000741	0	0	0	0	0	0
WBGene00000742	0	0	0	0	0	0
WBGene00000743	0	0	0	0	0	0
WBGene00000744	0	0	0	0	0	0
WBGene00000745	0	0	0	0	0	3
WBGene00000746	0	0	0	0	0	4
WBGene00000747	0	0	0	0	0	0
WBGene00000748	0	0	0	0	0	13
